Time,Brain,CSF,Plasma
2.830000e+01,4.870592,18.484677,35.970747
2.840000e+01,4.869925,18.409024,35.849319
2.850000e+01,4.869348,18.335173,35.729022
2.860000e+01,4.868848,18.263086,35.609876
2.870000e+01,4.868415,18.192724,35.491902
2.880000e+01,4.868040,18.124052,35.375115
2.890000e+01,4.867715,18.057032,35.259530
29,4.867434,17.991627,35.145162
2.910000e+01,4.867191,17.927800,35.032020
2.920000e+01,4.866980,17.865516,34.920117
2.930000e+01,4.866797,17.804740,34.809460
2.940000e+01,4.866639,17.745436,34.700057
2.950000e+01,4.866502,17.687571,34.591913
2.960000e+01,4.866383,17.631110,34.485034
2.970000e+01,4.866281,17.576021,34.379423
2.980000e+01,4.866192,17.522272,34.275084
2.990000e+01,4.866115,17.469830,34.172018
30,4.866048,17.418664,34.070226
3.010000e+01,4.865990,17.368745,33.969708
3.020000e+01,4.865940,17.320041,33.870463
3.030000e+01,4.865897,17.272525,33.772489
3.040000e+01,4.865859,17.226167,33.675785
3.050000e+01,4.865827,17.180940,33.580346
3.060000e+01,4.865799,17.136816,33.486171
3.070000e+01,4.865774,17.093768,33.393253
3.080000e+01,4.865753,17.051772,33.301589
3.090000e+01,4.865735,17.010800,33.211173
31,4.865719,16.970829,33.121999
3.110000e+01,4.865705,16.931833,33.034061
3.120000e+01,4.865693,16.893790,32.947351
3.130000e+01,4.865683,16.856677,32.861864
3.140000e+01,4.865674,16.820469,32.777590
3.150000e+01,4.865667,16.785146,32.694523
3.160000e+01,4.865660,16.750687,32.612653
3.170000e+01,4.865654,16.717069,32.531972
3.180000e+01,4.865649,16.684272,32.452472
3.190000e+01,4.865645,16.652277,32.374142
32,4.868162,16.621059,32.296988
3.210000e+01,5.190667,16.603182,32.233655
3.220000e+01,5.471701,16.609564,32.190973
3.230000e+01,5.715008,16.636404,32.166395
3.240000e+01,5.925654,16.680423,32.157710
3.250000e+01,6.108023,16.738798,32.162986
3.260000e+01,6.265910,16.809096,32.180532
3.270000e+01,6.402603,16.889224,32.208866
3.280000e+01,6.520945,16.977382,32.246690
3.290000e+01,6.623402,17.072022,32.292866
33,6.712105,17.171820,32.346390
3.310000e+01,6.788900,17.275636,32.406383
3.320000e+01,6.855386,17.382497,32.472068
3.330000e+01,6.912947,17.491570,32.542758
3.340000e+01,6.962781,17.602147,32.617850
3.350000e+01,7.005925,17.713622,32.696806
3.360000e+01,7.043278,17.825482,32.779151
3.370000e+01,7.075616,17.937293,32.864463
3.380000e+01,7.103613,18.048688,32.952366
3.390000e+01,7.127852,18.159360,33.042525
34,7.148837,18.269049,33.134640
3.410000e+01,7.167005,18.377544,33.228444
3.420000e+01,7.182734,18.484665,33.323695
3.430000e+01,7.196352,18.590269,33.420179
3.440000e+01,7.208142,18.694239,33.517699
3.450000e+01,7.218349,18.796481,33.616080
3.460000e+01,7.227185,18.896922,33.715164
3.470000e+01,7.234836,18.995507,33.814806
3.480000e+01,7.241459,19.092195,33.914875
3.490000e+01,7.247194,19.186957,34.015253
35,7.252158,19.279778,34.115831
3.510000e+01,7.256456,19.370648,34.216510
3.520000e+01,7.260178,19.459567,34.317199
3.530000e+01,7.263399,19.546542,34.417816
3.540000e+01,7.266188,19.631584,34.518283
3.550000e+01,7.268603,19.714710,34.618532
3.560000e+01,7.270694,19.795941,34.718499
3.570000e+01,7.272504,19.875300,34.818123
3.580000e+01,7.274071,19.952812,34.917350
3.590000e+01,7.275427,20.028506,35.016131
36,7.276602,20.102413,35.114418
3.610000e+01,7.277618,20.174562,35.212169
3.620000e+01,7.278499,20.244987,35.309345
3.630000e+01,7.279261,20.313721,35.405908
3.640000e+01,7.279921,20.380796,35.501826
3.650000e+01,7.280492,20.446247,35.597067
3.660000e+01,7.280987,20.510108,35.691602
3.670000e+01,7.281415,20.572413,35.785406
3.680000e+01,7.281786,20.633196,35.878454
3.690000e+01,7.282107,20.692490,35.970724
37,7.282384,20.750329,36.062195
3.710000e+01,7.282625,20.806746,36.152848
3.720000e+01,7.282833,20.861774,36.242667
3.730000e+01,7.283014,20.915445,36.331636
3.740000e+01,7.283170,20.967791,36.419741
3.750000e+01,7.283305,21.018843,36.506970
3.760000e+01,7.283422,21.068632,36.593309
3.770000e+01,7.283523,21.117188,36.678751
3.780000e+01,7.283611,21.164540,36.763284
3.790000e+01,7.283687,21.210718,36.846902
38,7.283752,21.255751,36.929597
3.810000e+01,7.283809,21.299665,37.011363
3.820000e+01,7.283859,21.342488,37.092195
3.830000e+01,7.283901,21.384247,37.172089
3.840000e+01,7.283938,21.424968,37.251041
3.850000e+01,7.283970,21.464676,37.329049
3.860000e+01,7.283998,21.503396,37.406111
3.870000e+01,7.284022,21.541153,37.482225
3.880000e+01,7.284043,21.577970,37.557391
3.890000e+01,7.284061,21.613870,37.631609
39,7.284076,21.648877,37.704880
3.910000e+01,7.284090,21.683011,37.777205
3.920000e+01,7.284101,21.716296,37.848585
3.930000e+01,7.284111,21.748751,37.919024
3.940000e+01,7.284120,21.780398,37.988523
3.950000e+01,7.284128,21.811256,38.057086
3.960000e+01,7.284134,21.841346,38.124717
3.970000e+01,7.284140,21.870685,38.191419
3.980000e+01,7.284145,21.899294,38.257198
3.990000e+01,7.284149,21.927189,38.322057
40,7.284153,21.954389,38.386001
4.010000e+01,7.284156,21.980911,38.449037
4.020000e+01,7.284159,22.006772,38.511170
4.030000e+01,7.284161,22.031988,38.572406
4.040000e+01,7.284163,22.056576,38.632752
4.050000e+01,7.284165,22.080550,38.692212
4.060000e+01,7.284166,22.103927,38.750796
4.070000e+01,7.284168,22.126721,38.808508
4.080000e+01,7.284169,22.148947,38.865357
4.090000e+01,7.284170,22.170618,38.921350
41,7.284171,22.191750,38.976494
4.110000e+01,7.284172,22.212354,39.030797
4.120000e+01,7.284172,22.232445,39.084267
4.130000e+01,7.284173,22.252035,39.136912
4.140000e+01,7.284173,22.271136,39.188739
4.150000e+01,7.284174,22.289761,39.239756
4.160000e+01,7.284174,22.307921,39.289973
4.170000e+01,7.284174,22.325629,39.339398
4.180000e+01,7.284175,22.342895,39.388038
4.190000e+01,7.284175,22.359731,39.435902
42,7.284175,22.376147,39.482999
4.210000e+01,7.284175,22.392153,39.529338
4.220000e+01,7.284175,22.407761,39.574927
4.230000e+01,7.284176,22.422979,39.619774
4.240000e+01,7.284176,22.437818,39.663889
4.250000e+01,7.284176,22.452287,39.707280
4.260000e+01,7.284176,22.466394,39.749956
4.270000e+01,7.284176,22.480151,39.791926
4.280000e+01,7.284176,22.493564,39.833199
4.290000e+01,7.284176,22.506642,39.873783
43,7.284176,22.519395,39.913686
4.310000e+01,7.284176,22.531829,39.952919
4.320000e+01,7.284176,22.543954,39.991489
4.330000e+01,7.284176,22.555776,40.029406
4.340000e+01,7.284176,22.567303,40.066677
4.350000e+01,7.284176,22.578543,40.103312
4.360000e+01,7.284176,22.589503,40.139319
4.370000e+01,7.284176,22.600189,40.174708
4.380000e+01,7.284176,22.610609,40.209485
4.390000e+01,7.284176,22.620769,40.243661
44,7.284176,22.630676,40.277243
4.410000e+01,7.284176,22.640335,40.310240
4.420000e+01,7.284176,22.649754,40.342660
4.430000e+01,7.284176,22.658938,40.374511
4.440000e+01,7.284176,22.667893,40.405802
4.450000e+01,7.284176,22.676624,40.436541
4.460000e+01,7.284176,22.685138,40.466737
4.470000e+01,7.284176,22.693439,40.496396
4.480000e+01,7.284176,22.701534,40.525528
4.490000e+01,7.284176,22.709427,40.554139
45,7.284176,22.717123,40.582239
4.510000e+01,7.284176,22.724626,40.609834
4.520000e+01,7.284176,22.731943,40.636933
4.530000e+01,7.284176,22.739078,40.663543
4.540000e+01,7.284176,22.746034,40.689671
4.550000e+01,7.284176,22.752817,40.715326
4.560000e+01,7.284176,22.759431,40.740514
4.570000e+01,7.284176,22.765880,40.765243
4.580000e+01,7.284176,22.772168,40.789521
